v8-version,7,1,302,31,0
code-creation,Builtin,3,4000,0x7ff6df5951a0,635,ArrayIndexOf
code-creation,Builtin,3,4000,0x7ff6df595420,12,ArrayPop
code-creation,Builtin,3,4000,0x7ff6df595440,726,ArrayPrototypePop
code-creation,Builtin,3,4000,0x7ff6df595720,12,ArrayPush
code-creation,Builtin,3,4000,0x7ff6df595740,2524,ArrayPrototypePush
code-creation,Builtin,3,4000,0x7ff6df596120,12,ArrayShift
code-creation,Builtin,3,4000,0x7ff6df596140,1184,ArrayPrototypeShift
code-creation,Builtin,3,4000,0x7ff6df596600,6412,ArrayPrototypeSlice
code-creation,Builtin,3,4000,0x7ff6df597f20,12,ArrayUnshift
code-creation,Builtin,3,5000,0x7ff6df597f40,1312,CloneFastJSArray
code-creation,Builtin,3,5000,0x7ff6df598480,3768,CloneFastJSArrayFillingHoles
code-creation,Builtin,3,5000,0x7ff6df599340,1350,ExtractFastJSArray
code-creation,Builtin,3,5000,0x7ff6df5998a0,2928,ArrayEveryLoopContinuation
code-creation,Builtin,3,5000,0x7ff6df59a420,130,ArrayEveryLoopEagerDeoptContinuation
code-creation,Builtin,3,5000,0x7ff6df59a4c0,480,ArrayEveryLoopLazyDeoptContinuation
code-creation,Builtin,3,5000,0x7ff6df59a6c0,1760,ArrayEvery
code-creation,Builtin,3,5000,0x7ff6df59adc0,2920,ArraySomeLoopContinuation
code-creation,Builtin,3,5000,0x7ff6df59b940,130,ArraySomeLoopEagerDeoptContinuation
code-creation,Builtin,3,5000,0x7ff6df59b9e0,472,ArraySomeLoopLazyDeoptContinuation
code-creation,Builtin,3,5000,0x7ff6df59bbc0,1752,ArraySome
code-creation,Builtin,3,5000,0x7ff6df59c2a0,4908,ArrayFilterLoopContinuation
code-creation,Builtin,3,5000,0x7ff6df59d5e0,6241,ArrayFilter
code-creation,Builtin,3,5000,0x7ff6df59ee60,130,ArrayFilterLoopEagerDeoptContinuation
code-creation,Builtin,3,5000,0x7ff6df59ef00,738,ArrayFilterLoopLazyDeoptContinuation
code-creation,Builtin,3,5000,0x7ff6df59f200,2812,ArrayMapLoopContinuation
code-creation,Builtin,3,5000,0x7ff6df59fd00,130,ArrayMapLoopEagerDeoptContinuation
code-creation,Builtin,3,5000,0x7ff6df59fda0,368,ArrayMapLoopLazyDeoptContinuation
code-creation,Builtin,3,5000,0x7ff6df59ff20,4256,ArrayMap
code-creation,Builtin,3,5000,0x7ff6df5a0fe0,2832,ArrayReduceLoopContinuation
code-creation,Builtin,3,5000,0x7ff6df5a1b00,126,ArrayReducePreLoopEagerDeoptContinuation
code-creation,Builtin,3,5000,0x7ff6df5a1b80,130,ArrayReduceLoopEagerDeoptContinuation
code-creation,Builtin,3,5000,0x7ff6df5a1c20,130,ArrayReduceLoopLazyDeoptContinuation
code-creation,Builtin,3,5000,0x7ff6df5a1cc0,1644,ArrayReduce
code-creation,Builtin,3,5000,0x7ff6df5a2340,2780,ArrayReduceRightLoopContinuation
code-creation,Builtin,3,5000,0x7ff6df5a2e20,142,ArrayReduceRightPreLoopEagerDeoptContinuation
code-creation,Builtin,3,5000,0x7ff6df5a2ec0,130,ArrayReduceRightLoopEagerDeoptContinuation
code-creation,Builtin,3,5000,0x7ff6df5a2f60,130,ArrayReduceRightLoopLazyDeoptContinuation
code-creation,Builtin,3,5000,0x7ff6df5a3000,1785,ArrayReduceRight
code-creation,Builtin,3,5000,0x7ff6df5a3700,297,ArrayPrototypeEntries
code-creation,Builtin,3,5000,0x7ff6df5a3840,608,ArrayFindLoopContinuation
code-creation,Builtin,3,5000,0x7ff6df5a3ac0,130,ArrayFindLoopEagerDeoptContinuation
code-creation,Builtin,3,5000,0x7ff6df5a3b60,130,ArrayFindLoopLazyDeoptContinuation
code-creation,Builtin,3,5000,0x7ff6df5a3c00,289,ArrayFindLoopAfterCallbackLazyDeoptContinuation
code-creation,Builtin,3,5000,0x7ff6df5a3d40,1708,ArrayPrototypeFind
code-creation,Builtin,3,5000,0x7ff6df5a4400,600,ArrayFindIndexLoopContinuation
code-creation,Builtin,3,5000,0x7ff6df5a4660,138,ArrayFindIndexLoopEagerDeoptContinuation
code-creation,Builtin,3,5000,0x7ff6df5a4700,138,ArrayFindIndexLoopLazyDeoptContinuation
code-creation,Builtin,3,5000,0x7ff6df5a47a0,293,ArrayFindIndexLoopAfterCallbackLazyDeoptContinuation
code-creation,Builtin,3,5000,0x7ff6df5a48e0,1728,ArrayPrototypeFindIndex
code-creation,Builtin,3,5000,0x7ff6df5a4fc0,289,ArrayPrototypeKeys
code-creation,Builtin,3,5000,0x7ff6df5a5100,297,ArrayPrototypeValues
code-creation,Builtin,3,5000,0x7ff6df5a5240,4200,ArrayIteratorPrototypeNext
code-creation,Builtin,3,5000,0x7ff6df5a62c0,3876,FlattenIntoArray
code-creation,Builtin,3,5000,0x7ff6df5a7200,3924,FlatMapIntoArray
code-creation,Builtin,3,5000,0x7ff6df5a8160,516,ArrayPrototypeFlat
code-creation,Builtin,3,5000,0x7ff6df5a8380,572,ArrayPrototypeFlatMap
code-creation,Builtin,3,5000,0x7ff6df5a85c0,12,ArrayBufferConstructor
code-creation,Builtin,3,5000,0x7ff6df5a85e0,12,ArrayBufferConstructor_DoNotInitialize
code-creation,Builtin,3,5000,0x7ff6df5a8600,12,ArrayBufferPrototypeGetByteLength
code-creation,Builtin,3,5000,0x7ff6df5a8620,12,ArrayBufferIsView
code-creation,Builtin,3,5000,0x7ff6df5a8640,12,ArrayBufferPrototypeSlice
code-creation,Builtin,3,5000,0x7ff6df5a8660,2232,AsyncFunctionAwaitCaught
code-creation,Builtin,3,5000,0x7ff6df5a8f20,2232,AsyncFunctionAwaitUncaught
code-creation,Builtin,3,5000,0x7ff6df5a97e0,122,AsyncFunctionAwaitRejectClosure
code-creation,Builtin,3,5000,0x7ff6df5a9860,118,AsyncFunctionAwaitResolveClosure
code-creation,Builtin,3,5000,0x7ff6df5a98e0,360,AsyncFunctionPromiseCreate
code-creation,Builtin,3,5000,0x7ff6df5a9a60,158,AsyncFunctionPromiseRelease
